question,domain,topic
How does a parser report the exact position of an unexpected token?,Compiler Design,Parsing
How does factoring a grammar change the number of states in the LR automaton?,Compiler Design,Parsing
Explain how an explicit state machine can drive a parser in an embedded system.,Compiler Design,Parsing
Describe how nested function calls are parsed and what determines the stack depth.,Compiler Design,Parsing
A backtracking parser takes exponential time on some inputs. What causes this and how is it fixed?,Compiler Design,Parsing
What is a regular grammar and how does it relate to token specification?,Compiler Design,Lexical Analysis
Explain how the epsilon-closure operation is used while converting an NFA to a DFA for a scanner.,Compiler Design,Lexical Analysis
Why do some compilers use a hand-written scanner instead of a generated one?,Compiler Design,Lexical Analysis
How does a scanner support source-to-source tools that must preserve the original formatting?,Compiler Design,Lexical Analysis
Describe how recording lexeme positions helps produce better diagnostic messages.,Compiler Design,Lexical Analysis
What is a token stream and how is it buffered between the scanner and the parser?,Compiler Design,Lexical Analysis
"In Flex, what is a start condition and where would you use one?",Compiler Design,Lexical Analysis
How would a scanner recognize raw string literals that may use arbitrary delimiters?,Compiler Design,Lexical Analysis
"Give one example of a lexical error and one example that is not lexical, and explain the difference.",Compiler Design,Lexical Analysis
Why did C++ scanners historically struggle with >> inside template argument lists?,Compiler Design,Lexical Analysis
Should a scanner perform case folding for a case-insensitive language? Discuss the tradeoffs.,Compiler Design,Lexical Analysis
What happens if two Lex rules match the same lexeme with exactly the same length?,Compiler Design,Lexical Analysis
How do regular expressions with backreferences break the finite state model of scanning?,Compiler Design,Lexical Analysis
Estimate the number of automaton states needed to recognize hexadecimal integer literals.,Compiler Design,Lexical Analysis
How does a scanner emit tokens for layout-sensitive constructs such as here-documents?,Compiler Design,Lexical Analysis
Explain how accepting-state actions are used to select the correct token category.,Compiler Design,Lexical Analysis
What are the tradeoffs of folding literal constants inside the scanner instead of later?,Compiler Design,Lexical Analysis
How is the end-of-file condition represented in the token stream?,Compiler Design,Lexical Analysis
Describe a technique for incremental re-scanning in an editor when a single character changes.,Compiler Design,Lexical Analysis
Why can a regular expression not express the rule that an identifier must be declared?,Compiler Design,Lexical Analysis
How would you extend a scanner to support user-defined numeric literal suffixes?,Compiler Design,Lexical Analysis
What is meant by the alphabet of a scanner and how is it chosen for byte-oriented input?,Compiler Design,Lexical Analysis
Discuss whether a minus sign in front of a number should be consumed by the scanner.,Compiler Design,Lexical Analysis
How can a lexical analyzer be tested systematically for correctness?,Compiler Design,Lexical Analysis
Discuss the memory management issues when lexemes must remain alive for later compiler phases.,Compiler Design,Lexical Analysis
What is a dependent type and why is checking one harder than checking a simple type?,Compiler Design,Semantic Analysis
Explain gradual typing and state where its checks are performed.,Compiler Design,Semantic Analysis
How does a compiler check the variance of a generic type parameter?,Compiler Design,Semantic Analysis
Describe the nominal subtyping rule used when a class implements an interface.,Compiler Design,Semantic Analysis
How are recursive type definitions compared for equivalence?,Compiler Design,Semantic Analysis
What is the occurs check during type unification and why is it necessary?,Compiler Design,Semantic Analysis
Which semantic rules govern the initialization order of static members?,Compiler Design,Semantic Analysis
How can the analyzer verify that a function declared pure does not modify global state?,Compiler Design,Semantic Analysis
"In a typing judgement of the form Gamma entails e has type T, what does Gamma represent?",Compiler Design,Semantic Analysis
How is a virtual method call resolved at compile time and what is left to runtime?,Compiler Design,Semantic Analysis
How does the semantic analyzer handle namespaces and qualified names?,Compiler Design,Semantic Analysis
Which semantic checks are needed to prove that a pattern match is exhaustive?,Compiler Design,Semantic Analysis
How does a compiler check ownership and borrowing rules in a language such as Rust?,Compiler Design,Semantic Analysis
What is the difference between type checking and type reconstruction?,Compiler Design,Semantic Analysis
Explain the role of coercion nodes inserted into the syntax tree by the analyzer.,Compiler Design,Semantic Analysis
How are default argument values validated semantically?,Compiler Design,Semantic Analysis
Which semantic error arises when a non-static member is used from a static context?,Compiler Design,Semantic Analysis
Describe how const-correctness is propagated through expressions.,Compiler Design,Semantic Analysis
What does the most specialized generic or template specialization mean and how is it chosen?,Compiler Design,Semantic Analysis
How does a compiler validate the types declared in a foreign function interface?,Compiler Design,Semantic Analysis
Which semantic constraints apply to an operator overloading declaration?,Compiler Design,Semantic Analysis
How can the analyzer detect an infinitely recursive type definition?,Compiler Design,Semantic Analysis
What phase ordering problem exists between name resolution and type checking?,Compiler Design,Semantic Analysis
How is an ambiguous member lookup under multiple inheritance reported?,Compiler Design,Semantic Analysis
Which semantic checks are required for catch clause types and exception specifications?,Compiler Design,Semantic Analysis
How is the pumping lemma used to prove that a language is not context-free?,Compiler Design,Syntax Analysis
What is an attribute grammar and how does it extend a plain context-free grammar?,Compiler Design,Syntax Analysis
Write a grammar for a simple JSON-like data format.,Compiler Design,Syntax Analysis
How would you design a grammar that supports prefix and postfix increment operators without ambiguity?,Compiler Design,Syntax Analysis
How does a grammar express the right associativity of the assignment operator?,Compiler Design,Syntax Analysis
Give a syntax-directed translation scheme that computes the decimal value of a binary numeral.,Compiler Design,Syntax Analysis
Explain the difference between ambiguity and nondeterminism in a grammar.,Compiler Design,Syntax Analysis
Why is the grammar describing regular expressions itself context-free?,Compiler Design,Syntax Analysis
Discuss how grammar size affects language documentation and tooling.,Compiler Design,Syntax Analysis
Can indentation-based block structure be expressed in a context-free grammar? Explain.,Compiler Design,Syntax Analysis
What is the offside rule and which syntactic difficulty does it create?,Compiler Design,Syntax Analysis
Give an example where left factoring changes the shape of the resulting parse tree.,Compiler Design,Syntax Analysis
Write productions for a comma-separated argument list that permits a trailing comma.,Compiler Design,Syntax Analysis
What is a context-sensitive constraint and why is it kept out of the context-free grammar?,Compiler Design,Syntax Analysis
Write an unambiguous grammar for an if statement whose else part is optional.,Compiler Design,Syntax Analysis
Explain how syntax trees are used by source-to-source translation tools.,Compiler Design,Syntax Analysis
What is a concrete syntax tree in tools that must preserve comments and spacing?,Compiler Design,Syntax Analysis
How does operator overloading affect the syntax specification of a language?,Compiler Design,Syntax Analysis
How is a grammar checked for ambiguity in practice?,Compiler Design,Syntax Analysis
Explain why ambiguity detection for context-free grammars is undecidable in general.,Compiler Design,Syntax Analysis
Design grammar productions for a switch statement that allows fall-through cases.,Compiler Design,Syntax Analysis
What effect do epsilon productions have on the shape of a syntax tree?,Compiler Design,Syntax Analysis
How would you extend an expression grammar to support a ternary conditional operator?,Compiler Design,Syntax Analysis
Explain the relationship between the length of a derivation and the size of its parse tree.,Compiler Design,Syntax Analysis
Which syntactic ambiguity arises from the C cast expression (a)*b?,Compiler Design,Syntax Analysis
