question,domain,topic
"A sum amounts to Rs. 8400 in 4 years at simple interest. Had the rate been 2% higher, it would have amounted to Rs. 9000. Find the sum.",Aptitude,Simple Interest
At what rate percent per annum will a sum of money double itself in 12 years under simple interest?,Aptitude,Simple Interest
In how many years will Rs. 12000 amount to Rs. 15600 at 6% per annum simple interest?,Aptitude,Simple Interest
"A person lends Rs. 20000 in two parts, one at 8% and the other at 10% simple interest. If the total annual interest is Rs. 1760, find the amount lent at 8%.",Aptitude,Simple Interest
The simple interest on a certain sum for 5 years is Rs. 3600 at 9% per annum. Determine the principal.,Aptitude,Simple Interest
A sum of money becomes three times itself in 16 years at simple interest. In how many years will it become five times?,Aptitude,Simple Interest
Rs. 6500 invested at simple interest yields Rs. 1560 as interest in 4 years. Work out the annual rate of interest.,Aptitude,Simple Interest
A principal invested for 3 years earns Rs. 1350 more at 8% per annum than it would at 5% per annum under simple interest. Work out the principal.,Aptitude,Simple Interest
A loan of Rs. 25000 is repaid after 2 years 6 months with simple interest at 12% per annum. Calculate the total amount repaid.,Aptitude,Simple Interest
"Calculate the compound interest on Rs. 16000 at 10% per annum for 2 years, compounded annually.",Aptitude,Compound Interest
The difference between compound interest and simple interest on a sum for 2 years at 8% per annum is Rs. 320. Find the sum.,Aptitude,Compound Interest
A sum of Rs. 12000 is invested at 20% per annum compounded half-yearly. Find the amount at the end of one year.,Aptitude,Compound Interest
A certain sum becomes Rs. 9680 in 2 years and Rs. 10648 in 3 years under compound interest. Determine the rate of interest.,Aptitude,Compound Interest
"If Rs. 8000 amounts to Rs. 9261 in 3 years under compound interest, work out the annual rate.",Aptitude,Compound Interest
Find the amount payable on a loan of Rs. 50000 taken at 12% per annum compounded annually for 3 years.,Aptitude,Compound Interest
A sum triples itself in 4 years under compound interest. In how many years will it become twenty-seven times?,Aptitude,Compound Interest
"The population of a village grows at 5% per annum compounded. If the present population is 20000, estimate the population after 3 years.",Aptitude,Compound Interest
Rs. 10000 is deposited at 8% per annum compounded quarterly. How much interest accrues in 9 months?,Aptitude,Compound Interest
The compound interest on a sum for the second year is Rs. 1320 and for the third year is Rs. 1452. Find the rate of interest per annum.,Aptitude,Compound Interest
Two numbers are in the ratio 5 : 8 and their difference is 63. Find the larger number.,Aptitude,Ratio and Proportion
"Divide Rs. 5400 among A, B and C in the ratio 2 : 3 : 4 and state C's share.",Aptitude,Ratio and Proportion
"If a : b = 3 : 4 and b : c = 6 : 7, determine the combined ratio a : b : c.",Aptitude,Ratio and Proportion
"The ratio of boys to girls in a school is 7 : 5. If there are 180 more boys than girls, find the total strength.",Aptitude,Ratio and Proportion
What number must be added to each term of the ratio 7 : 13 so that it becomes 2 : 3?,Aptitude,Ratio and Proportion
"Three friends share a prize in the ratio 4 : 5 : 6. If the smallest share is Rs. 3200, calculate the total prize money.",Aptitude,Ratio and Proportion
"If x : y = 2 : 3, find the value of the expression (3x + 2y) : (2x + 5y).",Aptitude,Ratio and Proportion
"Salaries of two employees are in the ratio 9 : 11. If each receives an increment of Rs. 2000, the ratio becomes 5 : 6. Find their original salaries.",Aptitude,Ratio and Proportion
The sides of a triangle are in the ratio 3 : 4 : 5 and its perimeter is 96 cm. Determine the length of the longest side.,Aptitude,Ratio and Proportion
Two quantities vary inversely; when one is 15 the other is 8. Find the second quantity when the first becomes 24.,Aptitude,Ratio and Proportion
"An amount is distributed between two partners so that the ratio of their shares is 5 : 7. If the difference of their shares is Rs. 4800, find the total amount.",Aptitude,Ratio and Proportion
"If 12 : 18 is in proportion with 20 : x, find the value of x.",Aptitude,Ratio and Proportion
"The average of 12 numbers is 46. If the number 58 is removed, find the average of the remaining numbers.",Aptitude,Averages
The mean age of 30 students in a class is 14 years. When the teacher's age is included the mean rises to 15 years. Determine the teacher's age.,Aptitude,Averages
A batsman scores 68 runs in his seventeenth innings and thereby increases his average by 3. Find his average after that innings.,Aptitude,Averages
The average weight of 8 persons increases by 2.5 kg when a new person replaces one weighing 55 kg. Work out the weight of the new person.,Aptitude,Averages
Find the average of the first 25 odd natural numbers.,Aptitude,Averages
"A family spends on average Rs. 18000 monthly for 4 months, Rs. 21000 for the next 5 months and Rs. 24000 for the remaining 3 months. Calculate the average monthly expenditure for the year.",Aptitude,Averages
The average marks of a section of 40 students is 62 and of another section of 60 students is 72. Find the combined average.,Aptitude,Averages
"Out of five numbers, the average of the first four is 28 and that of the last four is 32. If the first number is 20, find the last number.",Aptitude,Averages
"The average temperature from Monday to Wednesday was 31 degrees and from Tuesday to Thursday 33 degrees. If Thursday recorded 36 degrees, find Monday's temperature.",Aptitude,Averages
"The average salary of all 60 employees in an office is Rs. 32000. If 20 managers average Rs. 50000, find the average salary of the remaining staff.",Aptitude,Averages
The average of five consecutive even numbers is 36. Identify the largest of these numbers.,Aptitude,Averages
"A student's average score in six subjects is 74. If his scores in five subjects are 68, 72, 80, 65 and 79, what did he score in the sixth?",Aptitude,Averages
"A can complete a task in 12 days and B in 18 days. Working together, how long will they take to finish it?",Aptitude,Time and Work
"If 15 workers can build a wall in 20 days, how many days will 25 workers take to build the same wall?",Aptitude,Time and Work
A is twice as efficient as B and together they finish a piece of work in 14 days. In how many days can A alone complete it?,Aptitude,Time and Work
"P and Q together complete a job in 10 days, Q and R in 15 days and P and R in 12 days. Find the time taken by all three working together.",Aptitude,Time and Work
A contractor employs 40 men to finish a project in 60 days. After 30 days only 40% of the work is done. How many additional men are required to finish on time?,Aptitude,Time and Work
"A alone can do a piece of work in 24 days. He works for 8 days and leaves, and B completes the remaining work in 12 days. In how many days can B alone finish the whole work?",Aptitude,Time and Work
Three machines working simultaneously print 12000 pages in 4 hours. How long will two such machines take to print the same number of pages?,Aptitude,Time and Work
"6 men and 8 women finish a task in 10 days, while 26 men and 48 women finish it in 2 days. Find the time 15 men and 20 women would take.",Aptitude,Time and Work
"A works alone for 5 days, then B joins and together they complete the remaining work in 6 days. If A alone needs 20 days for the entire work, how long would B alone take?",Aptitude,Time and Work
"If 10 tailors stitch 60 shirts in 5 days, how many shirts can 14 tailors stitch in 7 days?",Aptitude,Time and Work
Two persons undertake a job for Rs. 9000. A can do it in 15 days and B in 10 days. With the help of C they finish it in 5 days. Determine C's share of the payment.,Aptitude,Time and Work
"A does half as much work as B in three-fourths of the time taken by B. If together they take 18 days, how long would B alone take?",Aptitude,Time and Work
"A and B work on alternate days starting with A, where A alone takes 9 days and B alone takes 12 days. Find the total number of days required.",Aptitude,Time and Work
A piece of work is completed by 12 boys in 16 days working 6 hours a day. How many days will 8 boys working 8 hours a day take?,Aptitude,Time and Work
"A pipe fills a tank in 6 hours while another empties it in 9 hours. If both are opened together, how long will the tank take to fill?",Aptitude,Pipes and Cisterns
Two inlet pipes fill a cistern in 20 minutes and 30 minutes respectively. Find the time taken when both work together.,Aptitude,Pipes and Cisterns
A tank has a leak that empties it in 12 hours. An inlet admitting 5 litres per minute fills it in 20 hours despite the leak. Determine the capacity of the tank.,Aptitude,Pipes and Cisterns
Pipe A fills a tank in 8 hours and pipe B in 12 hours. Both are opened together but A is closed after 3 hours. How much longer will B take to fill the tank?,Aptitude,Pipes and Cisterns
"Three taps can individually fill a reservoir in 10, 15 and 30 hours. Find the time required if all three run together.",Aptitude,Pipes and Cisterns
A cistern is normally filled in 9 hours but takes 12 hours due to a leak at the bottom. In what time will the leak empty the full cistern?,Aptitude,Pipes and Cisterns
"Two pipes fill a swimming pool in 24 minutes and 36 minutes. If they are opened alternately for one minute each beginning with the faster pipe, how long will the pool take to fill?",Aptitude,Pipes and Cisterns
"An outlet pipe empties a full tank in 15 hours. If two inlet pipes that fill in 10 and 20 hours are also opened, how long will the tank take to fill?",Aptitude,Pipes and Cisterns
A water tank of 800 litres is filled by a pump delivering 25 litres per minute while an outlet drains 10 litres per minute. Find the time needed to fill the tank.,Aptitude,Pipes and Cisterns
Pipe X is thrice as fast as pipe Y and together they fill a tank in 36 minutes. How long would pipe Y alone take?,Aptitude,Pipes and Cisterns
A train travels 360 km in 4 hours. Determine its average speed in kilometres per hour.,Aptitude,Time Speed and Distance
A car covers the first half of a journey at 40 km/h and the second half at 60 km/h. Find its average speed for the entire journey.,Aptitude,Time Speed and Distance
"Walking at three-fourths of his usual speed, a man reaches office 20 minutes late. Calculate his usual time to reach office.",Aptitude,Time Speed and Distance
A cyclist covers 90 km at 18 km/h and returns at 15 km/h. What is his average speed for the round trip?,Aptitude,Time Speed and Distance
Two cities are 480 km apart. A bus starts from one at 60 km/h and a car from the other at 80 km/h at the same time. After how long will they meet?,Aptitude,Time Speed and Distance
Convert a speed of 72 kilometres per hour into metres per second.,Aptitude,Time Speed and Distance
A runner completes a 400 m lap in 50 seconds. Find his speed in kilometres per hour.,Aptitude,Time Speed and Distance
"A man travels 150 km partly by bus at 40 km/h and partly by train at 60 km/h, taking 3 hours in all. How far did he travel by bus?",Aptitude,Time Speed and Distance
"If a person increases his speed from 25 km/h to 30 km/h, he saves 30 minutes on a journey. Find the distance covered.",Aptitude,Time Speed and Distance
Two friends start from the same point and walk in opposite directions at 5 km/h and 7 km/h. After how many hours will they be 36 km apart?,Aptitude,Time Speed and Distance
"A scooter rider travelling at 45 km/h reaches his destination 12 minutes early, while at 36 km/h he is 15 minutes late. Determine the distance.",Aptitude,Time Speed and Distance
"A thief is spotted 200 m ahead by a policeman. If the thief runs at 10 km/h and the policeman chases at 12 km/h, how far will the thief run before being caught?",Aptitude,Time Speed and Distance
An aeroplane covers a distance in 5 hours at 600 km/h. At what speed must it fly to cover the same distance in 4 hours?,Aptitude,Time Speed and Distance
A person leaves home at 8 a.m. and reaches a town 120 km away at 11:30 a.m. Work out his average speed.,Aptitude,Time Speed and Distance
A train 180 m long running at 54 km/h crosses an electric pole. How many seconds does it take?,Aptitude,Problems on Trains
How long will a 240 m train travelling at 72 km/h take to cross a bridge 360 m long?,Aptitude,Problems on Trains
Two trains of lengths 150 m and 200 m run on parallel tracks in opposite directions at 60 km/h and 48 km/h. Find the time taken to cross each other.,Aptitude,Problems on Trains
"A train overtakes a man walking at 6 km/h in the same direction in 18 seconds. If the train is 150 m long, determine its speed.",Aptitude,Problems on Trains
"Two trains moving in the same direction at 80 km/h and 65 km/h cross each other in 36 seconds. If one train is 250 m long, find the length of the other.",Aptitude,Problems on Trains
A train passes a platform 200 m long in 25 seconds and a signal post in 15 seconds. Calculate the length of the train.,Aptitude,Problems on Trains
A 300 m long express train crosses a stationary goods train of length 500 m in 40 seconds. Find the speed of the express train.,Aptitude,Problems on Trains
Two stations are 300 km apart and trains leave each station towards the other at 45 km/h and 55 km/h. At what distance from the first station will they meet?,Aptitude,Problems on Trains
A train leaves a station at 6 a.m. at 50 km/h and another leaves the same station at 8 a.m. at 70 km/h in the same direction. At what time will the second overtake the first?,Aptitude,Problems on Trains
"The ratio of the speeds of two trains is 7 : 8. If the second train covers 400 km in 5 hours, find the speed of the first train.",Aptitude,Problems on Trains
A boat travels 32 km downstream in 4 hours and returns in 8 hours. Find the speed of the boat in still water.,Aptitude,Boats and Streams
The speed of a boat in still water is 15 km/h and the stream flows at 3 km/h. How long will the boat take to cover 54 km downstream?,Aptitude,Boats and Streams
A man rows 18 km upstream in 3 hours and the same distance downstream in 2 hours. Determine the rate of the current.,Aptitude,Boats and Streams
"If a swimmer takes twice as long to swim upstream as downstream, find the ratio of his speed in still water to the speed of the stream.",Aptitude,Boats and Streams
"A motorboat covers 60 km upstream and 60 km downstream in a total of 9 hours. If the current flows at 2 km/h, find the boat's speed in still water.",Aptitude,Boats and Streams
The downstream speed of a boat is 22 km/h and its upstream speed is 14 km/h. Work out the speed of the stream.,Aptitude,Boats and Streams
"A boatman rows to a place 48 km away and returns in 16 hours. If his speed in still water is 8 km/h, find the speed of the stream.",Aptitude,Boats and Streams
A boat covers 24 km downstream in 1 hour 30 minutes and the same distance upstream in 3 hours. Calculate its speed in still water.,Aptitude,Boats and Streams
"A person can row at 9 km/h in still water. Against a current flowing at 3 km/h, how long will he take to row 36 km upstream?",Aptitude,Boats and Streams
"Two boats start towards each other from ports 100 km apart on a river, one with the current and one against it. If their still-water speeds are 20 km/h and 15 km/h and the current is 5 km/h, after how long will they meet?",Aptitude,Boats and Streams
In what ratio must rice costing Rs. 45 per kg be mixed with rice costing Rs. 60 per kg so that the mixture is worth Rs. 50 per kg?,Aptitude,Mixtures and Alligations
A 60 litre mixture contains milk and water in the ratio 7 : 3. How much water must be added to make the ratio 7 : 5?,Aptitude,Mixtures and Alligations
"From a vessel full of 40 litres of pure milk, 8 litres are removed and replaced with water. If this operation is repeated once more, find the quantity of milk left.",Aptitude,Mixtures and Alligations
Two alloys contain copper and zinc in the ratios 5 : 3 and 3 : 5. In what proportion should they be melted together to obtain an alloy having copper and zinc in equal measure?,Aptitude,Mixtures and Alligations
A dealer mixes 20 kg of tea costing Rs. 250 per kg with 30 kg costing Rs. 200 per kg. Determine the cost price per kg of the mixture.,Aptitude,Mixtures and Alligations
How many litres of water should be added to 45 litres of a 40% acid solution to reduce its concentration to 30%?,Aptitude,Mixtures and Alligations
A container holds petrol and kerosene in the ratio 9 : 1. If 20 litres of the mixture is replaced by kerosene the ratio becomes 3 : 2. Find the initial quantity of the mixture.,Aptitude,Mixtures and Alligations
In what ratio should water be mixed with milk costing Rs. 64 per litre so that a seller gains 25% by selling the mixture at Rs. 64 per litre?,Aptitude,Mixtures and Alligations
"Two vessels contain spirit and water in the ratios 3 : 1 and 5 : 3. If equal quantities from both are mixed, find the ratio of spirit to water in the new mixture.",Aptitude,Mixtures and Alligations
A mixture of 80 litres contains acid and water in the ratio 3 : 5. How much acid must be added to make the ratio 1 : 1?,Aptitude,Mixtures and Alligations
Find the remainder when 7 raised to the power 103 is divided by 5.,Aptitude,Number System
How many numbers between 100 and 400 are exactly divisible by 13?,Aptitude,Number System
Determine the unit digit of the product 137 x 248 x 659.,Aptitude,Number System
The sum of three consecutive odd numbers is 147. Identify the smallest of them.,Aptitude,Number System
A number leaves remainder 3 when divided by 5. What remainder will its square leave when divided by 5?,Aptitude,Number System
Find the least number that must be subtracted from 5432 to make it exactly divisible by 17.,Aptitude,Number System
How many trailing zeros are there at the end of the value of 50 factorial?,Aptitude,Number System
Express the recurring decimal 0.363636... as a fraction in its simplest form.,Aptitude,Number System
A number when divided by 342 leaves a remainder 47. Find the remainder when the same number is divided by 19.,Aptitude,Number System
Identify the largest four-digit number that is exactly divisible by 88.,Aptitude,Number System
Find the total count of prime numbers lying between 50 and 100.,Aptitude,Number System
"When the digits of a two-digit number are reversed the number decreases by 27. If the sum of its digits is 11, find the original number.",Aptitude,Number System
"Find the highest common factor of 204, 1190 and 1445.",Aptitude,HCF and LCM
"Determine the least number which when divided by 12, 15 and 20 leaves a remainder of 5 in each case.",Aptitude,HCF and LCM
"The HCF of two numbers is 12 and their LCM is 336. If one number is 84, find the other.",Aptitude,HCF and LCM
"Three bells ring at intervals of 18, 24 and 32 minutes. If they ring together at 9 a.m., when will they next ring simultaneously?",Aptitude,HCF and LCM
"Find the greatest number that divides 152, 200 and 296 leaving the same remainder in each case.",Aptitude,HCF and LCM
"What is the smallest five-digit number exactly divisible by 16, 24 and 36?",Aptitude,HCF and LCM
Two numbers are in the ratio 3 : 4 and their least common multiple is 180. Find the numbers.,Aptitude,HCF and LCM
"Determine the LCM of the fractions 2/3, 8/9 and 10/27.",Aptitude,HCF and LCM
"Four metal rods of lengths 84 cm, 90 cm, 120 cm and 60 cm are to be cut into equal pieces of maximum possible length. Find that length.",Aptitude,HCF and LCM
"Find the least number which when increased by 7 becomes divisible by 15, 25 and 40.",Aptitude,HCF and LCM
In how many distinct ways can the letters of the word ENGINEER be arranged?,Aptitude,Permutation and Combination
A committee of 4 members is to be formed from 7 men and 5 women such that at least 2 women are included. Find the number of ways.,Aptitude,Permutation and Combination
How many four-digit numbers can be formed using the digits 1 to 7 without repetition?,Aptitude,Permutation and Combination
Determine the number of ways in which 8 people can be seated around a circular table.,Aptitude,Permutation and Combination
"From a pack of 52 cards, in how many ways can 5 cards be selected so that all belong to the same suit?",Aptitude,Permutation and Combination
In how many ways can 5 boys and 3 girls stand in a row so that no two girls stand together?,Aptitude,Permutation and Combination
How many diagonals can be drawn in a regular polygon having 12 sides?,Aptitude,Permutation and Combination
A password consists of 3 letters followed by 2 digits with repetition allowed. Calculate the total number of possible passwords.,Aptitude,Permutation and Combination
"Out of 9 players a team of 5 has to be chosen, and one particular player must always be included. In how many ways can this be done?",Aptitude,Permutation and Combination
Find the number of ways of distributing 10 identical chocolates among 3 children so that each child gets at least one.,Aptitude,Permutation and Combination
How many different arrangements can be made using all the letters of the word MATHEMATICS?,Aptitude,Permutation and Combination
"In an examination a student must answer 6 questions out of 10, of which the first two are compulsory. In how many ways can he choose the questions?",Aptitude,Permutation and Combination
"A bag contains 5 red, 4 green and 3 blue balls. If one ball is drawn at random, find the probability that it is not blue.",Aptitude,Probability
Two dice are rolled together. Determine the probability that the sum of the numbers shown is 9.,Aptitude,Probability
A card is drawn at random from a well shuffled pack of 52 cards. What are the chances of getting a face card?,Aptitude,Probability
Three coins are tossed simultaneously. Find the probability of obtaining at least two heads.,Aptitude,Probability
From a group of 6 boys and 4 girls two students are chosen at random. Calculate the probability that both are girls.,Aptitude,Probability
A number is selected at random from 1 to 50. Find the probability that it is a multiple of 4 or 6.,Aptitude,Probability
"If the probability of an event occurring is 0.35, determine the probability of that event not occurring.",Aptitude,Probability
Two cards are drawn one after another without replacement from a deck of 52 cards. Find the probability that both are aces.,Aptitude,Probability
"A box contains 12 bulbs of which 4 are defective. If two bulbs are picked at random, what is the chance that both are good?",Aptitude,Probability
"In a class 60% of students play cricket, 45% play football and 25% play both. If a student is chosen at random, find the probability that he plays at least one of the two games.",Aptitude,Probability
A letter is chosen at random from the word PROBABILITY. Determine the probability that the letter is a vowel.,Aptitude,Probability
The probability of A being selected in an interview is 1/5 and of B is 1/3. Find the probability that exactly one of them is selected.,Aptitude,Probability
The present age of a father is three times that of his son. Five years ago it was four times. Find the son's present age.,Aptitude,Ages
The ratio of the ages of A and B is 4 : 5 and after 8 years it becomes 5 : 6. Determine their present ages.,Aptitude,Ages
A man is 26 years older than his daughter. In 10 years he will be three times as old as her. Find their present ages.,Aptitude,Ages
The sum of the ages of a mother and her daughter is 60 years. Ten years ago the mother was five times as old as the daughter. How old is the daughter now?,Aptitude,Ages
Ten years hence Rahul will be twice as old as he was ten years ago. What is his present age?,Aptitude,Ages
"The average age of a family of 5 members is 28 years. If the youngest member is 8 years old, find the average age of the family at the time of his birth.",Aptitude,Ages
A is younger than B by 9 years and the ratio of their ages is 5 : 8. Calculate A's age.,Aptitude,Ages
The age of a person 6 years ago was three-fifths of his age 6 years from now. Find his present age.,Aptitude,Ages
The combined age of three brothers is 45 years and their ages are in the ratio 2 : 3 : 4. Find the age of the eldest brother.,Aptitude,Ages
"Fifteen years ago Meena's mother was four times as old as Meena, and after 15 years she will be twice as old. What is Meena's present age?",Aptitude,Ages
"A and B invest Rs. 45000 and Rs. 60000 in a business. If the annual profit is Rs. 35000, find A's share.",Aptitude,Partnership
"Three partners invest capital in the ratio 3 : 4 : 5 for the same period. If the total profit is Rs. 48000, determine the share of the second partner.",Aptitude,Partnership
X starts a business with Rs. 80000 and after 4 months Y joins with Rs. 120000. Find the ratio in which they should divide the annual profit.,Aptitude,Partnership
"A, B and C start a venture investing Rs. 20000, Rs. 30000 and Rs. 40000. A withdraws after 6 months while the others continue for a year. How should a profit of Rs. 25000 be divided?",Aptitude,Partnership
One partner invests Rs. 25000 for 8 months and another Rs. 40000 for 5 months. Find the ratio in which the profit should be shared.,Aptitude,Partnership
"In a firm the working partner receives 10% of the profit as salary and the rest is shared in proportion to capital. If the total profit is Rs. 60000 and the capitals are equal, find the working partner's total earnings.",Aptitude,Partnership
"A invested Rs. 50000 in a firm and B joined later with Rs. 75000. If the profits at the end of the year were divided equally, for how many months was B's money invested?",Aptitude,Partnership
"Three villagers rent a grazing field and graze 24 cows for 3 months, 15 cows for 4 months and 30 cows for 2 months. In what ratio should the rent be shared?",Aptitude,Partnership
The capitals of two partners are in the ratio 5 : 6 and their periods of investment in the ratio 3 : 2. Determine the ratio of their profits.,Aptitude,Partnership
A and B enter into a partnership with Rs. 36000 and Rs. 54000. At the end of the year A receives Rs. 12000 as his share. Calculate the total profit earned.,Aptitude,Partnership
Find the angle between the hour hand and the minute hand of a clock at 3:40.,Aptitude,Clocks
At what time between 4 and 5 o'clock will the two hands of a clock coincide?,Aptitude,Clocks
"A watch gains 5 seconds every 3 minutes. If it was set right at 8 a.m., how much will it have gained by 6 p.m.?",Aptitude,Clocks
How many times do the hands of a clock form a right angle in a period of 24 hours?,Aptitude,Clocks
At what time between 7 and 8 o'clock will the two hands of a clock point in opposite directions?,Aptitude,Clocks
Through what angle does the minute hand of a clock move in 25 minutes?,Aptitude,Clocks
"A wall clock loses 3 minutes every hour. If it is set correctly at 12 noon, what time will it show at 8 p.m. the same day?",Aptitude,Clocks
The reflection of a clock seen in a mirror shows the time as 4:20. What is the actual time?,Aptitude,Clocks
"If 15 August 2020 was a Saturday, what day of the week was 15 August 2021?",Aptitude,Calendars
Find the day of the week on 26 January 1950.,Aptitude,Calendars
How many leap years occur in the period from 1900 to 2000?,Aptitude,Calendars
Calculate the number of odd days in a period of 100 years.,Aptitude,Calendars
The calendar of which future year will be exactly identical to the calendar of 2024?,Aptitude,Calendars
"If the first day of a non-leap year is Monday, what will be the last day of that year?",Aptitude,Calendars
A month begins on a Friday and has 31 days. How many Sundays fall in that month?,Aptitude,Calendars
On which day of the week will 1 January 2030 fall?,Aptitude,Calendars
The bar graph shows the sales of a company from 2016 to 2021. Find the percentage increase in sales from 2018 to 2019.,Aptitude,Data Interpretation
"A pie chart represents the monthly budget of a household. If 18% of the budget goes to education and the total income is Rs. 50000, calculate the amount spent on education.",Aptitude,Data Interpretation
The table gives the number of candidates appearing and qualifying in an examination over five years. Determine the year with the highest qualifying percentage.,Aptitude,Data Interpretation
"From the line graph showing the production of two factories, find the ratio of the total production of Factory A to that of Factory B over the given period.",Aptitude,Data Interpretation
Study the given table of marks scored by six students in four subjects and find the average marks of the student who scored highest in Mathematics.,Aptitude,Data Interpretation
"In a pie chart showing the distribution of employees across five departments, find the central angle for the Marketing department if it employs 25% of the staff.",Aptitude,Data Interpretation
The bar chart shows monthly rainfall in a city. By what percent did the rainfall in July exceed that in June?,Aptitude,Data Interpretation
Refer to the table of imports and exports of a country and determine the year in which the trade deficit was the largest.,Aptitude,Data Interpretation
The graph depicts the number of two-wheelers and four-wheelers sold by a dealer in each quarter. Find the quarter in which the difference between the two was minimum.,Aptitude,Data Interpretation
"Based on the given data on a firm's expenditure on salaries, rent, utilities and transport, calculate what fraction of the total expenditure went to salaries.",Aptitude,Data Interpretation
"In a certain code language, TEACHER is written as VGCEJGT. How will STUDENT be written in the same code?",Aptitude,Coding-Decoding
"If MOUSE is written as NPVTF in a code language, decode the word written there as UBCMF.",Aptitude,Coding-Decoding
In a certain language 'pit na som' means 'bring me water' and 'na jo lik' means 'water is cold'. Which word stands for water?,Aptitude,Coding-Decoding
"If GARDEN is written as 715184514 using letter positions, how would the word ROSE be represented?",Aptitude,Coding-Decoding
"In a code, each letter of a word is shifted two places forward in the alphabet. Write the code for the word PLANT.",Aptitude,Coding-Decoding
"If CAT is coded as 24 and DOG as 26 based on the sum of the positions of their letters, find the code for RAT.",Aptitude,Coding-Decoding
In a certain code SYSTEM is written as SYSMET and NEARER as AENRER. How will FRACTION be written in that code?,Aptitude,Coding-Decoding
Decode the word obtained when each letter of BRAIN is replaced by its opposite letter in the alphabet.,Aptitude,Coding-Decoding
"In a particular language 'blue' means 'sky', 'sky' means 'cloud' and 'cloud' means 'rain'. What will a speaker of this language call the water falling from above?",Aptitude,Coding-Decoding
"If the code for NUMBER is OVNCFS, identify the code for LETTER following the same pattern.",Aptitude,Coding-Decoding
"In a code language TABLE is written as 20112125. Following the same rule, encode the word CHAIR.",Aptitude,Coding-Decoding
A coding system assigns each word a number equal to three times its letter count. What number will be assigned to the word PLACEMENT?,Aptitude,Coding-Decoding
"Find the next term in the series: 3, 7, 15, 31, 63, ?",Aptitude,Number Series
"Identify the missing number in the sequence: 5, 11, 23, 47, ?, 191",Aptitude,Number Series
