question,domain,topic
"Ravi said, 'This girl is the wife of the grandson of my mother.' How is Ravi related to the girl?",Aptitude,Blood Relations
A woman introduces a man as the son of the brother of her mother. How is the man related to the woman?,Aptitude,Blood Relations
M is the sister of N. N is the son of P. P is the father of Q. How is M related to Q?,Aptitude,Blood Relations
"In a certain code, 'RIVER' is written as 'SJWFS'. How is 'MOUNTAIN' written in that code?",Aptitude,Coding-Decoding
"If 'CAT' is coded as '312' and 'DOG' is coded as '457', how is 'CAB' coded?",Aptitude,Coding-Decoding
"In a certain language, 'PENCIL' is coded as 'QFODJM'. Decode the pattern and write the code for 'PAPER'.",Aptitude,Coding-Decoding
"If in a certain code language 'GARDEN' is written as 'HBSEFO', how would 'FLOWER' be written in the same code?",Aptitude,Coding-Decoding
"If in a certain code, 'CAT' is written as 'DBU', how would 'DOG' be written in the same code?",Aptitude,Coding-Decoding
"In a certain language, 'PENCIL' is coded as 'QFODJM'. How would 'ERASER' be coded in that language?",Aptitude,Coding-Decoding
"If 'MOTHER' is coded as 'MTOEHR', how would 'FATHER' be coded following the same pattern?",Aptitude,Coding-Decoding
"In a code language, if 'GO' is written as '715' and 'SO' is written as '1915', how would 'TO' be written?",Aptitude,Coding-Decoding
"If A=1, B=2, C=3, and so on, what is the code for the word 'FUN'?",Aptitude,Coding-Decoding
"In a certain code, 'ROSE' is written as '6821' and 'CHAIR' is written as '73456'. What is the code for 'SEARCH'?",Aptitude,Coding-Decoding
"If in a certain code 'TABLE' is written as 'UBCMF', how would 'CHAIR' be coded in the same language?",Aptitude,Coding-Decoding
"In a certain code, numbers are coded as letters such that 1=A, 2=B and so on. What is the code for the number 425?",Aptitude,Coding-Decoding
In how many ways can a committee of 3 members be chosen from a group of 8 people?,Aptitude,Combinations
"From a group of 6 men and 4 women, in how many ways can a team of 3 men and 2 women be selected?",Aptitude,Combinations
How many diagonals can be drawn in a polygon with 10 sides?,Aptitude,Combinations
"In how many ways can a set of 4 questions be chosen from 6 questions in Part A and 4 questions in Part B, if at least 2 must be from Part A?",Aptitude,Combinations
In how many ways can a committee of 4 members be chosen from 9 people?,Aptitude,Combinations
A bag contains 6 red and 4 green balls. In how many ways can 3 balls be chosen such that at least one is green?,Aptitude,Combinations
How many ways can a cricket team of 11 players be selected from a squad of 15 players?,Aptitude,Combinations
In how many ways can 3 letters be selected from the word 'NUMBER'?,Aptitude,Combinations
"From a group of 8 men and 6 women, in how many ways can a team of 5 be selected with exactly 3 men?",Aptitude,Combinations
In how many ways can a committee of 3 men and 2 women be formed from 6 men and 4 women?,Aptitude,Combinations
"From a deck of 52 cards, in how many ways can 2 cards of the same suit be chosen?",Aptitude,Combinations
How many ways can a group of 4 students be selected from a class of 12 students for a quiz competition?,Aptitude,Combinations
"Find the compound interest on Rs. 10000 for 2 years at 10% per annum, compounded annually.",Aptitude,Compound Interest
The difference between compound interest and simple interest on a sum for 2 years at 10% per annum is Rs. 50. Find the sum.,Aptitude,Compound Interest
A sum of Rs. 12000 is invested at 12% per annum compounded half-yearly for one year. Find the amount at the end of the year.,Aptitude,Compound Interest
"Find the compound interest on Rs. 15000 for 3 years at 10% per annum, compounded annually.",Aptitude,Compound Interest
"Find the compound interest on Rs. 20000 for 3 years at 5% per annum, compounded annually.",Aptitude,Compound Interest
The compound interest on a sum for 2 years at 12% per annum is Rs. 2544. Find the sum.,Aptitude,Compound Interest
A sum of Rs. 8000 becomes Rs. 9261 in 3 years at compound interest. Find the rate of interest per annum.,Aptitude,Compound Interest
"Find the amount on Rs. 25000 for 1 year at 8% per annum, compounded half-yearly.",Aptitude,Compound Interest
The difference between compound interest and simple interest on Rs. 6000 for 2 years at 10% per annum is how much?,Aptitude,Compound Interest
A sum of money invested at compound interest amounts to Rs. 4840 in 2 years and Rs. 5324 in 3 years. Find the rate of interest.,Aptitude,Compound Interest
"Find the compound interest on Rs. 18000 for 2 years at 15% per annum, compounded annually.",Aptitude,Compound Interest
"A bar graph shows the sales of a company for five years. If the sales in 2020 were 200 units and increased by 10% every subsequent year, find the sales in 2022.",Aptitude,Data Interpretation
"A pie chart divides a company's expenditure among rent, salaries, utilities and miscellaneous costs. If salaries occupy 120 degrees of the chart, what percentage of total expenditure does it represent?",Aptitude,Data Interpretation
"The table below shows the marks obtained by five students in two subjects. Based on the given data, calculate the average marks in Subject A.",Aptitude,Data Interpretation
"A line graph shows the monthly revenue of a startup over six months. Based on the trend shown, in which month was the revenue growth rate the highest?",Aptitude,Data Interpretation
"A pie chart shows the monthly expenditure of a family across 5 categories. If the total expenditure is Rs. 40000 and food accounts for 30%, find the amount spent on food.",Aptitude,Data Interpretation
"A bar graph shows the sales of a company for 6 months. If the sales in January were 200 units and increased by 10% every subsequent month, find the sales in March.",Aptitude,Data Interpretation
"The following table shows the marks obtained by a student in 5 subjects out of 100 each. If the total marks obtained were 410, find the average percentage scored.",Aptitude,Data Interpretation
"A line graph shows the population of a city over 5 years, growing from 2 lakh to 3.5 lakh. Find the average annual growth in population.",Aptitude,Data Interpretation
"In a survey, 60% of respondents preferred tea, 25% preferred coffee, and the rest preferred juice. If 500 people were surveyed, find the number who preferred juice.",Aptitude,Data Interpretation
"A pie chart shows a company's expenditure across departments. If R&D accounts for 20% of a total budget of Rs. 25 lakh, find the amount spent on R&D.",Aptitude,Data Interpretation
"A table shows the annual production of 4 factories over 3 years. If Factory A produced 12000 units in year 1 and production grew by 8% each year, find the production in year 3.",Aptitude,Data Interpretation
"A bar graph shows monthly rainfall in a city. If June recorded 180 mm and July recorded 25% more than June, find the rainfall in July.",Aptitude,Data Interpretation
Question: What is the age of Ravi? Statement I: Ravi is 5 years older than his sister. Statement II: Ravi's sister is 20 years old. Are both statements together sufficient to answer the question?,Aptitude,Data Sufficiency
Question: Is x greater than y? Statement I: x + 5 > y + 3. Statement II: x - y = 4. Determine if either statement alone is sufficient.,Aptitude,Data Sufficiency
Question: What is the value of a two-digit number? Statement I: The sum of its digits is 9. Statement II: The number is a multiple of 9. Determine whether the statements together are sufficient.,Aptitude,Data Sufficiency
What is the age of Ravi? Statement I: Ravi is 5 years younger than his brother. Statement II: Ravi's brother is 20 years old. Is the data in the two statements together sufficient to answer the question?,Aptitude,Data Sufficiency
Is x greater than y? Statement I: x + y = 10. Statement II: x - y = 4. Determine if the statements together are sufficient to answer the question.,Aptitude,Data Sufficiency
What is the length of a rectangle? Statement I: The perimeter of the rectangle is 40 cm. Statement II: The breadth of the rectangle is 8 cm. Are the statements sufficient to find the length?,Aptitude,Data Sufficiency
How many students are there in a class? Statement I: The number of boys is twice the number of girls. Statement II: There are 15 girls in the class. Determine sufficiency.,Aptitude,Data Sufficiency
What is the cost price of an item? Statement I: The item was sold at a profit of 20%. Statement II: The selling price of the item is Rs. 600. Determine if the statements are sufficient.,Aptitude,Data Sufficiency
What is the value of x? Statement I: x^2 = 49. Statement II: x is a positive number. Are the statements sufficient?,Aptitude,Data Sufficiency
"Is triangle ABC a right triangle? Statement I: One angle of the triangle is 90 degrees. Statement II: The sides are 3, 4 and 5 units. Determine sufficiency.",Aptitude,Data Sufficiency
What is the speed of a train? Statement I: The train covers 300 km in some hours. Statement II: The train takes 5 hours to cover the distance. Determine sufficiency.,Aptitude,Data Sufficiency
How many workers are needed to complete a task in 6 days? Statement I: 10 workers can complete the task in 12 days. Statement II: All workers work at the same rate. Determine sufficiency.,Aptitude,Data Sufficiency
"A man walks 5 km towards north, then turns right and walks 3 km, then turns right again and walks 5 km. How far is he from his starting point?",Aptitude,Direction Sense
"Starting from her house, a girl walks 10 m south, then turns left and walks 10 m, then turns left again and walks 10 m. In which direction is she now from her starting point?",Aptitude,Direction Sense
"A person walks 4 km east, then 3 km north. What is the shortest distance from his starting point?",Aptitude,Direction Sense
"A man starts from point X, walks 6 km north, then 8 km east to reach point Y. Find the shortest distance between X and Y.",Aptitude,Direction Sense
"Starting from her house, a girl walks 10 m south, then 6 m east, then 10 m north. How far and in which direction is she from her starting point?",Aptitude,Direction Sense
"A person starts walking towards east, turns left, then left again, and finally turns right. In which direction is he now facing?",Aptitude,Direction Sense
"Ramesh walks 8 km north, then turns east and walks 6 km. How far is he from his starting position?",Aptitude,Direction Sense
"A man walks 4 km east, then 3 km south, then 4 km west. How far is he from his starting point and in which direction?",Aptitude,Direction Sense
"Facing south, a man turns 90 degrees clockwise, then 180 degrees anticlockwise. In which direction is he facing now?",Aptitude,Direction Sense
"A man starts from his house and walks 6 km west, then 8 km north. How far is he from his starting point?",Aptitude,Direction Sense
"A cyclist rides 12 km south, then turns left and rides 5 km. In which direction is he now from his starting point?",Aptitude,Direction Sense
"Facing north, a person turns 45 degrees clockwise and then another 90 degrees clockwise. In which direction is he now facing?",Aptitude,Direction Sense
Identify the grammatical error in the sentence: 'Each of the students have submitted their assignment.',Aptitude,Error Spotting
Find the error in the sentence: 'She is one of the best player in the team.',Aptitude,Error Spotting
Identify the error in the sentence: 'Neither the manager nor the employees was present at the meeting.',Aptitude,Error Spotting
Identify the error in the sentence: 'Each of the players have their own equipment.',Aptitude,Error Spotting
Find the grammatical mistake in the sentence: 'She is one of the best player in the team.',Aptitude,Error Spotting
Spot the error in the sentence: 'Neither the manager nor the employees was informed about the meeting.',Aptitude,Error Spotting
Identify the incorrect part of the sentence: 'He has been working here since five years.',Aptitude,Error Spotting
Find the error: 'The number of students in the class have increased this year.',Aptitude,Error Spotting
Identify the error in the sentence: 'She along with her friends were going to the market.',Aptitude,Error Spotting
Find the grammatical mistake: 'He is taller than any boy in his class.',Aptitude,Error Spotting
Spot the error in the sentence: 'I have completed my homework already before he arrived.',Aptitude,Error Spotting
Identify the incorrect part of the sentence: 'One of my friend is a doctor.',Aptitude,Error Spotting
Choose the correct form of the verb: 'Neither of the boys ___ (has/have) completed the assignment.',Aptitude,Grammar
Identify the correct sentence: (a) He don't like tea. (b) He doesn't like tea.,Aptitude,Grammar
Fill in the blank with the correct preposition: 'She is good ___ mathematics.',Aptitude,Grammar
"Choose the correctly punctuated sentence: (a) Lets eat, Grandma. (b) Let's eat, Grandma.",Aptitude,Grammar
Choose the correct form of the verb: 'Neither of the students ___ (has/have) completed the assignment.',Aptitude,Grammar
Identify the correct sentence: 'She don't like coffee.' or 'She doesn't like coffee.',Aptitude,Grammar
Fill in the blank with the correct preposition: 'He is good ___ mathematics.',Aptitude,Grammar
Choose the correctly punctuated sentence from the given options.,Aptitude,Grammar
Identify the part of speech of the underlined word in the sentence: 'She sings beautifully.',Aptitude,Grammar
Correct the grammatical error in the sentence: 'Each of the boys have submitted their project.',Aptitude,Grammar
Choose the correct article to fill the blank: '___ sun rises in the east.',Aptitude,Grammar
Explain the meaning of the idiom 'to bite the bullet' and use it in a sentence.,Aptitude,Idioms and Phrases
Choose the correct meaning of the phrase 'once in a blue moon'.,Aptitude,Idioms and Phrases
Choose the correct meaning of the idiom 'Break the ice'.,Aptitude,Idioms and Phrases
Explain the meaning of the phrase 'Once in a blue moon'.,Aptitude,Idioms and Phrases
Choose the meaning closest to the idiom 'Bite the bullet'.,Aptitude,Idioms and Phrases
What does the idiom 'Spill the beans' mean?,Aptitude,Idioms and Phrases
Select the correct meaning of the phrase 'Under the weather'.,Aptitude,Idioms and Phrases
Choose the correct meaning of the idiom 'A blessing in disguise'.,Aptitude,Idioms and Phrases
Explain the meaning of the phrase 'Hit the nail on the head'.,Aptitude,Idioms and Phrases
What does the idiom 'Cut corners' mean?,Aptitude,Idioms and Phrases
Choose the meaning closest to the phrase 'Burn the midnight oil'.,Aptitude,Idioms and Phrases
Select the correct meaning of the idiom 'Let the cat out of the bag'.,Aptitude,Idioms and Phrases
"Find the next term in the letter series: A, C, F, J, O, ...",Aptitude,Letter Series
"Complete the series: Z, Y, X, W, ...",Aptitude,Letter Series
"Find the missing letters: AB, DE, GH, JK, ...",Aptitude,Letter Series
"Find the next letter in the series: B, D, F, H, ?",Aptitude,Letter Series
"Find the missing letters in the series: AZ, BY, CX, ?",Aptitude,Letter Series
"Complete the series: J, F, M, A, M, ?",Aptitude,Letter Series
"Find the next term: A, C, F, J, O, ?",Aptitude,Letter Series
"Find the odd one out: BDF, MOQ, RTV, WYB",Aptitude,Letter Series
"Find the missing letters: CEG, ?, KMO, QSU",Aptitude,Letter Series
"Find the next term in the series: Z, X, V, T, ?",Aptitude,Letter Series
"Complete the series: AB, DE, GH, JK, ?",Aptitude,Letter Series
"Find the missing letters in the series: FGH, KLM, PQR, ?",Aptitude,Letter Series
"If all engineers are hardworking and some hardworking people are creative, can we logically conclude that some engineers are creative?",Aptitude,Logical Deduction
"Given that no A is B, and all B are C, what can be concluded about the relationship between A and C?",Aptitude,Logical Deduction
"If all squares are rectangles and all rectangles are quadrilaterals, what can be logically deduced about the relationship between squares and quadrilaterals?",Aptitude,Logical Deduction
"If all mangoes are fruits and some fruits are sweet, can we conclude that some mangoes are sweet?",Aptitude,Logical Deduction
"Given that all engineers are graduates and some graduates are unemployed, can we conclude that some engineers are unemployed?",Aptitude,Logical Deduction
"If it is true that 'all birds can fly' and 'a penguin is a bird', identify the logical flaw in concluding that a penguin can fly.",Aptitude,Logical Deduction
"From the statements 'No fish are mammals' and 'All whales are mammals', deduce the relationship between fish and whales.",Aptitude,Logical Deduction
"If 'some doctors are teachers' and 'all teachers are educated', can we logically conclude that some doctors are educated?",Aptitude,Logical Deduction
"If 'all pilots are trained professionals' and 'some trained professionals are pilots', what can be deduced about the relationship between the two groups?",Aptitude,Logical Deduction
"From the statements 'No reptiles are mammals' and 'All snakes are reptiles', what can be concluded about snakes and mammals?",Aptitude,Logical Deduction
"If 'some teachers are researchers' and 'all researchers are published authors', can it be concluded that some teachers are published authors?",Aptitude,Logical Deduction
"Given 'all athletes are disciplined' and 'John is disciplined', can we conclude that John is an athlete? Explain the logical error, if any.",Aptitude,Logical Deduction
In what ratio must two varieties of tea priced at Rs. 60/kg and Rs. 80/kg be mixed so that the mixture costs Rs. 65/kg?,Aptitude,Mixtures and Alligations
A container has 40 litres of milk. 4 litres are withdrawn and replaced with water; this process is repeated twice more. Find the final quantity of milk in the container.,Aptitude,Mixtures and Alligations
How many litres of water must be added to 30 litres of a solution containing 40% acid to reduce the concentration to 25%?,Aptitude,Mixtures and Alligations
A vessel contains milk and water in the ratio 5:2. How much water should be added to 28 litres of this mixture so that the ratio becomes 5:4?,Aptitude,Mixtures and Alligations
In what ratio must a shopkeeper mix tea worth Rs. 60 per kg with tea worth Rs. 90 per kg so that the mixture costs Rs. 70 per kg?,Aptitude,Mixtures and Alligations
A vessel contains 40 litres of a mixture of milk and water in the ratio 3:1. How much water should be added to make the ratio 3:2?,Aptitude,Mixtures and Alligations
How many kilograms of rice costing Rs. 42 per kg should be mixed with 25 kg of rice costing Rs. 30 per kg to get a mixture worth Rs. 36 per kg?,Aptitude,Mixtures and Alligations
"A container has a mixture of alcohol and water in the ratio 5:3. If 8 litres of water is added, the ratio becomes 5:4. Find the initial quantity of the mixture.",Aptitude,Mixtures and Alligations
"In what proportion must water be mixed with milk costing Rs. 20 per litre so that the mixture, worth Rs. 16 per litre, has no profit or loss when sold at the same price?",Aptitude,Mixtures and Alligations
A mixture of 60 litres of milk and water contains 20% water. How much more water should be added to make the water content 25% of the new mixture?,Aptitude,Mixtures and Alligations
How many kilograms of wheat costing Rs. 50 per kg must be mixed with 40 kg of wheat costing Rs. 34 per kg so that the mixture may be worth Rs. 40 per kg?,Aptitude,Mixtures and Alligations
"A jar contains a mixture of two liquids A and B in the ratio 4:1. When 10 litres of the mixture is taken out and replaced with liquid B, the ratio becomes 2:3. Find the initial quantity of liquid A.",Aptitude,Mixtures and Alligations
"Find the next number in the series: 3, 6, 12, 24, 48, ...",Aptitude,Number Series
"Find the missing number in the series: 2, 5, 10, 17, 26, ?",Aptitude,Number Series
"Identify the odd one out in the series: 4, 9, 16, 25, 30, 36.",Aptitude,Number Series
"Find the next term: 1, 4, 9, 16, 25, ...",Aptitude,Number Series
"Find the next number in the series: 1, 1, 2, 3, 5, 8, ...",Aptitude,Number Series
"Find the missing number in the series: 3, 9, 27, 81, ?",Aptitude,Number Series
"Find the next term in the series: 1, 4, 9, 16, 25, ?",Aptitude,Number Series
"Find the wrong number in the series: 2, 5, 10, 17, 26, 36",Aptitude,Number Series
"Find the next number in the series: 7, 14, 28, 56, ?",Aptitude,Number Series
"Find the missing term: 5, 11, 19, 29, 41, ?",Aptitude,Number Series
"Complete the series: 1, 1, 2, 3, 5, 8, 13, ?",Aptitude,Number Series
"Find the next number in the pattern: 100, 90, 81, 73, ?",Aptitude,Number Series
"Find the wrong term in the series: 6, 12, 21, 33, 48, 66",Aptitude,Number Series
"Find the missing number: 4, 9, 16, 25, 36, ?",Aptitude,Number Series
"Find the next term: 2, 6, 12, 20, 30, ?",Aptitude,Number Series
A student scored 68 out of 80 marks in an exam. What percentage of marks did the student get?,Aptitude,Percentage
The price of a laptop is increased by 15% and then decreased by 10%. Find the net percentage change in price.,Aptitude,Percentage
"In an election between two candidates, the winner got 55% of the total votes and won by 900 votes. Find the total number of votes polled.",Aptitude,Percentage
"If 40% of a number is 72, find the number.",Aptitude,Percentage
A number is first increased by 20% and then decreased by 20%. Find the net percentage change in the number.,Aptitude,Percentage
"In an examination, a candidate secured 342 marks out of 600. What percentage of marks did the candidate obtain?",Aptitude,Percentage
A number when increased by 25% becomes 150. Find the original number.,Aptitude,Percentage
"Out of a total of 850 students in a school, 40% are girls. Find the number of boys.",Aptitude,Percentage
The population of a town increased from 25000 to 27500 in one year. Find the percentage increase in population.,Aptitude,Percentage
A man spends 72% of his income and saves Rs. 2800. Find his total income.,Aptitude,Percentage
"If the price of sugar falls by 20%, by what percentage should consumption increase so that expenditure remains unchanged?",Aptitude,Percentage
"In an election, a candidate who gets 40% of the total votes is defeated by 15000 votes. Find the total number of votes polled.",Aptitude,Percentage
A student has to secure 35% marks to pass an exam. He gets 130 marks and fails by 30 marks. Find the maximum marks.,Aptitude,Percentage
Two numbers are respectively 20% and 50% more than a third number. Find the ratio of the two numbers.,Aptitude,Percentage
A container has 60 litres of milk. 10% of it is replaced by water. Find the percentage of milk left after two such operations.,Aptitude,Percentage
In how many ways can the letters of the word 'TABLE' be arranged?,Aptitude,Permutations
"How many 4-digit numbers can be formed using the digits 1, 2, 3, 4, 5 without repetition?",Aptitude,Permutations
In how many ways can 5 different books be arranged on a shelf?,Aptitude,Permutations
How many ways are there to arrange the letters of the word 'STATISTICS'?,Aptitude,Permutations
In how many ways can the letters of the word 'MANGO' be arranged?,Aptitude,Permutations
In how many ways can 5 people be seated in a row?,Aptitude,Permutations
Find the number of ways in which the letters of the word 'APPLE' can be arranged.,Aptitude,Permutations
How many different arrangements can be made using all the letters of the word 'STATISTICS'?,Aptitude,Permutations
In how many ways can 3 boys and 2 girls be seated in a row such that no two girls sit together?,Aptitude,Permutations
In how many ways can the letters of the word 'ORANGE' be arranged so that the vowels always come together?,Aptitude,Permutations
How many different 3-letter words can be formed from the letters of the word 'COMPUTER' without repetition?,Aptitude,Permutations
In how many ways can 6 books be arranged on a shelf if 2 particular books must always be together?,Aptitude,Permutations
A die is thrown once. What is the probability of getting a number greater than 4?,Aptitude,Probability
Two coins are tossed simultaneously. Find the probability of getting exactly one head.,Aptitude,Probability
"A bag contains 5 red balls and 7 blue balls. If one ball is drawn at random, find the probability that it is red.",Aptitude,Probability
"From a well shuffled deck of 52 cards, one card is drawn. Find the probability that it is a king.",Aptitude,Probability
Two dice are thrown together. Find the probability that the sum of the numbers on them is 7.,Aptitude,Probability
"A bag contains 5 red and 7 blue balls. If one ball is drawn at random, find the probability that it is red.",Aptitude,Probability
Two dice are thrown together. Find the probability of getting a sum of 8.,Aptitude,Probability
A card is drawn at random from a well-shuffled deck of 52 cards. Find the probability that it is a king.,Aptitude,Probability
A bag contains 4 white and 6 black balls. Two balls are drawn at random. Find the probability that both are black.,Aptitude,Probability
Three coins are tossed simultaneously. Find the probability of getting exactly two heads.,Aptitude,Probability
"A box contains 3 defective and 7 non-defective bulbs. If two bulbs are drawn at random, find the probability that both are non-defective.",Aptitude,Probability
Find the probability of getting a number greater than 4 when a single die is rolled.,Aptitude,Probability
A train 150 metres long crosses a pole in 15 seconds. Find the speed of the train in km/hr.,Aptitude,Problems on Trains
Two trains of length 120 m and 180 m are moving in opposite directions at speeds of 54 km/hr and 36 km/hr. Find the time they take to cross each other.,Aptitude,Problems on Trains
A train running at 72 km/hr crosses a platform 250 metres long in 30 seconds. Find the length of the train.,Aptitude,Problems on Trains
A train crosses a man standing on a platform in 10 seconds and crosses the 200-metre-long platform itself in 25 seconds. Find the length and speed of the train.,Aptitude,Problems on Trains
A train 150 m long is running at a speed of 90 km/hr. Find the time it takes to cross a pole.,Aptitude,Problems on Trains
A train 240 m long crosses a platform 260 m long in 25 seconds. Find the speed of the train in km/hr.,Aptitude,Problems on Trains
Two trains of length 120 m and 180 m are moving in opposite directions at speeds of 60 km/hr and 40 km/hr respectively. Find the time they take to cross each other.,Aptitude,Problems on Trains
A train running at 54 km/hr crosses a man standing on the platform in 20 seconds. Find the length of the train.,Aptitude,Problems on Trains
Two trains start from stations 300 km apart and move towards each other at speeds of 50 km/hr and 40 km/hr. Find the distance covered by the faster train when they meet.,Aptitude,Problems on Trains
A train travelling at 72 km/hr crosses another train of equal length travelling at 54 km/hr in the same direction in 60 seconds. Find the length of each train.,Aptitude,Problems on Trains
"A train 200 m long crosses another train of length 150 m, running in the same direction, in 30 seconds. If the speed of the second train is 36 km/hr, find the speed of the first train.",Aptitude,Problems on Trains
A train running at a uniform speed crosses a bridge 250 m long in 20 seconds and a platform 150 m long in 15 seconds. Find the length and speed of the train.,Aptitude,Problems on Trains
A shopkeeper buys an article for Rs. 450 and sells it for Rs. 540. Find the profit percentage.,Aptitude,Profit and Loss
"By selling a chair for Rs. 720, a trader incurs a loss of 10%. Find the cost price of the chair.",Aptitude,Profit and Loss
A dealer marks his goods 25% above cost price but allows a 10% discount. Find his actual profit percentage.,Aptitude,Profit and Loss
"Two articles are sold at the same price, one at a profit of 20% and the other at a loss of 20%. Find the overall profit or loss percentage.",Aptitude,Profit and Loss
"A trader allows a discount of 10% on the marked price of an item and still makes a profit of 20%. If the cost price is Rs. 500, find the marked price.",Aptitude,Profit and Loss
A retailer buys a radio for Rs. 225 and sells it for Rs. 300. Find his profit percentage.,Aptitude,Profit and Loss
"By selling a watch for Rs. 1140, a shopkeeper loses 5%. At what price should he sell it to gain 5%?",Aptitude,Profit and Loss
A man purchased 120 oranges for Rs. 600 and sold them at a rate of Rs. 6 per orange. Find his profit or loss percentage.,Aptitude,Profit and Loss
A shopkeeper marks his goods 40% above the cost price and offers a discount of 15%. Find his profit percentage.,Aptitude,Profit and Loss
"If the cost price of 12 pens is equal to the selling price of 10 pens, find the profit percentage.",Aptitude,Profit and Loss
"A trader sells an article at a loss of 12%. Had he sold it for Rs. 88 more, he would have gained 8%. Find the cost price.",Aptitude,Profit and Loss
"A shopkeeper allows a discount of 20% on the marked price and still makes a profit of 12%. If the article costs Rs. 400, find the marked price.",Aptitude,Profit and Loss
"A man sold two watches for Rs. 1000 each, one at a profit of 10% and the other at a loss of 10%. Find his overall profit or loss.",Aptitude,Profit and Loss
The cost price of an article is 80% of its selling price. Find the profit percentage.,Aptitude,Profit and Loss
"A wholesaler sells goods to a retailer at a profit of 10%, and the retailer sells them to a customer at a profit of 15%. If the customer pays Rs. 253, find the original cost price.",Aptitude,Profit and Loss
"Divide Rs. 1250 among A, B and C in the ratio 2:3:5.",Aptitude,Ratio and Proportion
"If the ratio of boys to girls in a class is 4:5 and there are 36 students in total, find the number of girls.",Aptitude,Ratio and Proportion
"Two numbers are in the ratio 3:4. If their sum is 84, find the two numbers.",Aptitude,Ratio and Proportion
"If a:b = 2:3 and b:c = 4:5, find a:b:c.",Aptitude,Ratio and Proportion
"A sum of money is divided among P, Q and R such that P gets twice as much as Q and Q gets thrice as much as R. If the total is Rs. 4200, find R's share.",Aptitude,Ratio and Proportion
"Two numbers are in the ratio 5:7. If their sum is 372, find the two numbers.",Aptitude,Ratio and Proportion
"The ratio of the ages of two brothers is 3:5. After 8 years, the ratio becomes 4:5. Find their present ages.",Aptitude,Ratio and Proportion
"A sum of Rs. 2340 is divided among A, B and C such that A gets twice as much as B and B gets thrice as much as C. Find the share of each.",Aptitude,Ratio and Proportion
"Find the fourth proportional to 4, 9 and 12.",Aptitude,Ratio and Proportion
"The ratio of income of two persons is 9:7 and the ratio of their expenditure is 4:3. If each saves Rs. 2000, find their incomes.",Aptitude,Ratio and Proportion
